Setpoint Grade 1,Grade,EQ,SL,Elong,TomraElong
1,1,47.70,56.80,0.840,41.13
2,1,49.90,59.10,0.844,41.43
3,1,48.10,57.70,0.834,40.72
4,1,46.70,54.70,0.854,42.06
5,1,46.40,56.90,0.815,39.51
6,1,50.30,60.30,0.834,40.75
7,1,44.40,52.70,0.843,41.31
8,1,50.80,61.70,0.823,40.03
9,1,46.40,59.00,0.786,37.57
10,1,52.40,62.00,0.845,41.49
11,1,61.60,72.20,0.853,42.02
12,1,45.90,55.00,0.835,40.78
13,1,48.20,57.50,0.838,41.03
14,1,46.40,57.80,0.803,38.66
15,1,51.20,62.90,0.814,39.41
16,2,54.20,63.30,0.856,42.23
17,2,46.20,53.50,0.864,42.72
18,2,56.60,66.20,0.855,42.15
19,2,53.30,61.50,0.867,42.92
20,2,46.20,53.30,0.867,42.93
21,2,52.90,61.50,0.860,42.49
22,2,51.00,59.80,0.853,42.00
23,2,48.30,56.20,0.859,42.44
24,2,64.30,74.80,0.860,42.45
25,2,45.10,52.20,0.864,42.75
26,2,62.60,72.70,0.861,42.55
27,2,49.30,56.90,0.866,42.91
28,2,44.40,51.60,0.860,42.51
29,2,48.30,56.50,0.855,42.14
30,2,52.90,60.90,0.869,43.06
31,3,48.20,54.80,0.880,43.79
32,3,51.80,59.40,0.872,43.28
33,3,53.40,61.30,0.871,43.22
34,3,47.50,54.20,0.876,43.57
35,3,50.80,57.70,0.880,43.84
36,3,49.60,56.50,0.878,43.67
37,3,57.70,65.60,0.880,43.79
38,3,51.50,58.40,0.882,43.94
39,3,58.40,66.20,0.882,43.96
40,3,54.00,61.60,0.877,43.59
41,3,59.70,68.00,0.878,43.68
42,3,49.70,56.70,0.877,43.58
43,3,52.20,60.10,0.869,43.05
44,3,44.90,51.30,0.875,43.50
45,3,55.60,64.00,0.869,43.06
46,4,51.10,57.00,0.896,44.92
47,4,55.80,62.30,0.896,44.86
48,4,47.90,53.40,0.897,44.95
49,4,61.00,68.10,0.896,44.87
50,4,49.90,56.30,0.886,44.24
51,4,55.20,62.40,0.885,44.12
52,4,55.30,62.30,0.888,44.33
53,4,49.60,56.10,0.884,44.09
54,4,55.90,62.50,0.894,44.78
55,4,55.10,61.70,0.893,44.69
56,4,57.10,63.80,0.895,44.82
57,4,62.00,69.00,0.899,45.05
58,4,51.30,57.60,0.891,44.52
59,4,58.40,65.30,0.894,44.77
60,4,53.80,60.80,0.885,44.14
61,5,53.40,59.20,0.902,45.29
62,5,52.40,58.20,0.900,45.17
63,5,51.20,56.70,0.903,45.35
64,5,51.20,56.30,0.909,45.78
65,5,55.80,61.20,0.912,45.94
66,5,50.70,56.10,0.904,45.40
67,5,67.70,75.10,0.901,45.25
68,5,52.00,57.20,0.909,45.76
69,5,58.00,63.60,0.912,45.95
70,5,48.40,53.50,0.905,45.46
71,5,48.00,52.60,0.913,45.99
72,5,50.80,56.10,0.906,45.52
73,5,58.60,65.00,0.902,45.25
74,5,53.00,58.40,0.908,45.65
75,5,58.00,63.80,0.909,45.76
76,6,54.80,59.80,0.916,46.24
77,6,60.40,65.50,0.922,46.63
78,6,58.40,63.10,0.926,46.85
79,6,50.20,54.90,0.914,46.11
80,6,55.90,60.70,0.921,46.55
81,6,48.70,52.50,0.928,46.99
82,6,51.90,56.70,0.915,46.18
83,6,56.60,61.60,0.919,46.41
84,6,55.50,60.10,0.923,46.72
85,6,57.20,62.40,0.917,46.26
86,6,53.10,57.90,0.917,46.29
87,6,57.10,61.90,0.922,46.65
88,6,51.50,56.10,0.918,46.35
89,6,59.80,64.50,0.927,46.96
90,6,48.90,53.40,0.916,46.20
91,7,58.20,62.50,0.931,47.23
92,7,54.30,58.40,0.930,47.14
93,7,57.00,60.40,0.944,48.07
94,7,64.20,67.90,0.946,48.19
95,7,52.30,55.90,0.936,47.53
96,7,58.50,62.50,0.936,47.55
97,7,58.30,62.30,0.936,47.54
98,7,61.50,65.80,0.935,47.46
99,7,64.20,68.80,0.933,47.36
100,7,62.50,67.20,0.930,47.16
101,7,56.60,59.90,0.945,48.15
102,7,59.20,62.90,0.941,47.90
103,7,51.00,54.70,0.932,47.31
104,7,56.30,59.60,0.945,48.13
105,7,59.80,63.60,0.940,47.84
106,8,56.00,58.50,0.957,48.97
107,8,63.50,66.70,0.952,48.62
108,8,57.90,60.50,0.957,48.96
109,8,63.90,66.70,0.958,49.02
110,8,65.90,69.50,0.948,48.37
111,8,58.30,60.60,0.962,49.29
112,8,63.80,67.30,0.948,48.35
113,8,54.70,57.10,0.958,49.02
114,8,61.70,64.90,0.951,48.54
115,8,54.50,57.30,0.951,48.56
116,8,51.60,53.50,0.964,49.46
